"id","civilite","prenom","nom","naissance","profession","groupe","ncirco","circo","debut","duree","age","premiereElection"
"1001","M.","Marc-Philippe","Daubresse","-518144400","Ancien directeur d'une société de recrutement","UMP","4","Nord","1292281200","17.6197354362","57","1992"
"1012","M.","Charles","de La Verpillière","-491965200","Conseiller d'Etat","UMP","2","Ain","1182290400","4.39614428854","56","2007"
"1020","M.","Bernard","Debré","-796960800","Chirurgien des hôpitaux, professeur des Universités","UMP","15","Paris","1182290400","15.980105046","66","1986"
"1029","M.","Bernard","Deflesselles","-511578000","Ingénieur","UMP","9","Bouches-du-Rhône","1182290400","12.6179102023","57","1999"
"1031","M.","Lucien","Degauchy","-1027472400","Horticulteur","UMP","5","Oise","1182290400","18.4933379915","73","1993"
"1032","M.","Pascal","Deguilhem","-438483600","Professeur d'Education physique (Université Bordeaux IV)","SRC","1","Dordogne","1182290400","4.39614428854","54","2007"
"1058","M.","Richard","Dell'Agnola","-659581200","Attaché principal d'administration au ministère de la justice","UMP","12","Val-de-Marne","1182290400","13.4474789908","61","1993"
"1066","M.","François","Deluga","-414032400","Agent général d'assurances","SRC","8","Gironde","1228086000","7.99082829493","55","1997"
"1079","M.","Yves","Deniaud","-736390800","Cadre commercial","UMP","1","Orne","1182290400","18.4933379915","64","1993"
"1085","M.","Bernard","Depierre","-775447200","Consultant ","UMP","1","Côte-d'Or","1182290400","9.39545982584","65","2002"
"1092","M.","Bernard","Derosier","-951267600","Instituteur retraité","SRC","2","Nord","1182290400","33.2914214959","72","1978"
"1094","M.","Jacques","Desallangre","-1083114000","Journaliste","GDR","4","Aisne","1182290400","14.4413188265","75","1997"
"1116","M.","Michel","Destot","-736304400","Ingénieur","SRC","3","Isère","1182290400","23.2927904213","64","1988"
"1124","M.","Patrick","Devedjian","-799984800","Avocat","UMP","13","Hauts-de-Seine","1292281200","20.2263975397","66","1986"
"1141","M.","Marc","Dolez","-542682000","Maître de conférences","GDR","17","Nord","1182290400","19.2407712564","58","1988"
"1152","M.","Dominique","Dord","-326163600","Gérant de société","UMP","1","Savoie","1182290400","14.4413188265","51","1997"
"1155","M.","René","Dosière","-896666400","Consultant international","SRC","1","Aisne","1182290400","19.2407712564","69","1988"
"1165","M.","Julien","Dray","-467946000","Enseignant chercheur","SRC","10","Essonne","1182290400","23.2927904213","55","1988"
"1166","M.","Tony","Dreyfus","-977616000","Avocat au Barreau de Paris","SRC","5","Paris","1182290400","14.4413188265","71","1997"
"1182","M.","Jean-Pierre","Dufau","-836100000","Enseignant retraité","SRC","2","Landes","1182290400","14.4413188265","67","1997"
