#PS
Ibrahim Aboubacar
Patricia Adam
Sylviane Alaux
Jean-Pierre Allossery
François André
Nathalie Appéré
Kader Arif
Christian Assaf
Joël Aviragnet
Pierre Aylagas
Jean-Marc Ayrault
Alexis Bachelay
Guillaume Bachelay
Jean-Paul Bacquet
Dominique Baert
Gérard Bapt
Frédéric Barbier
Serge Bardy
Ericka Bareigts
Christian Bataille
Delphine Batho
Marie-Noëlle Battistel
Philippe Baumel
Catherine Beaubatie
Marie-Françoise Bechtel
Jean-Marie Beffara
Luc Belot
Karine Berger
Chantal Berthelot
Gisèle Biémouret
Philippe Bies
Erwann Binet
Yves Blein
Daniel Boisserie
Christophe Borgel
Florent Boudié
Marie-Odile Bouillé
Christophe Bouillon
Brigitte Bourguignon
Malek Boutih
Émeric Bréhier
Jean-Louis Bricout
Jean-Jacques Bridey
François Brottes
Isabelle Bruneau
Gwenegan Bui
Sabine Buis
Jean-Claude Buisine
Sylviane Bulteau
Vincent Burroni
Alain Calmette
Jean-Christophe Cambadélis
Colette Capdevielle
Yann Capet
Christophe Caresche
Marie-Arlette Carlotti
Martine Carrillon-Couvreur
Christophe Castaner
Laurent Cathala
Jean-Yves Caullet
Guy Chambefort
Jean-Paul Chanteguet
Marie-Anne Chapdelaine
Guy-Michel Chauveau
Jean-David Ciot
Alain Claeys
Jean-Michel Clément
Marie-Françoise Clergeau
Romain Colas
Philip Cordery
Valérie Corre
Jean-Jacques Cottel
Catherine Coutelle
Jacques Cresta
Pascale Crozon
Frédéric Cuvillier
Seybah Dagoma
Yves Daniel
Carlos Da Silva
Pascal Deguilhem
Florence Delaunay
Michèle Delaunay
Guy Delcourt
Pascal Demarthe
Sébastien Denaja
Françoise Descamps-Crosnier
Sophie Dessus
Jean-Louis Destans
Michel Destot
Fanny Dombre-Coste
René Dosière
Sandrine Doucet
Philippe Doucet
Françoise Dubois
Jean-Pierre Dufau
Anne-Lise Dufour-Tonini
Françoise Dumas
William Dumas
Jean-Louis Dumont
Jean-Paul Dupré
Yves Durand
Philippe Duron
Olivier Dussopt
Henri Emmanuelli
Corinne Erhel
Sophie Errante
Marie-Hélène Fabre
Olivier Faure
Alain Fauré
Hervé Féron
Richard Ferrand
Geneviève Fioraso
Hugues Fourage
Jean-Marc Fournel
Valérie Fourneyron
Michèle Fournier-Armand
Michel Françaix
Christian Franqueville
Jean-Claude Fruteau
Jean-Louis Gagnaire
Yann Galut
Guillaume Garot
Hélène Geoffroy
Jean-Marc Germain
Jean Glavany
Yves Goasdoué
Geneviève Gosselin-Fleury
Pascale Got
Marc Goua
Estelle Grelier
Jean Grellier
Edith Gueugneau
Élisabeth Guigou
Chantal Guittet
David Habib
Razzy Hammadi
Benoît Hamon
Joëlle Huillier
Sandrine Hurel
Christian Hutin
Monique Iborra
Françoise Imbert
Michel Issindou
Éric Jalton
Serge Janquin
Henri Jibrayel
Régis Juanico
Armand Jung
Laurent Kalinowski
Marietta Karamanli
Philippe Kemel
Chaynesse Khirouni
Bernadette Laclais
Conchita Lacuey
François Lamy
Anne-Christine Lang
Colette Langlade
Jean Launay
Jean-Luc Laurent
Jean-Yves Le Bouillonnec
Gilbert Le Bris
Anne-Yvonne Le Dain
Jean-Yves Le Déaut
Viviane Le Dissez
Michel Lefait
Dominique Lefebvre
Annie Le Houerou
Annick Le Loch
Patrick Lemasle
Catherine Lemorton
Christophe Léonard
Annick Lepetit
Jean-Pierre Le Roch
Bruno Le Roux
Arnaud Leroy
Michel Lesage
Bernard Lesterlin
Serge Letchimy
Michel Liebgott
Martine Lignières-Cassou
Audrey Linkenheld
François Loncle
Gabrielle Louis-Carabin
Lucette Lousteau
Victorin Lurel
Jacqueline Maquet
Marie-Lou Marcel
Jean-René Marsac
Philippe Martin
Frédérique Massat
Sandrine Mazetier
Michel Ménard
Patrick Mennucci
Kléber Mesquida
Philippe Nauche
Nathalie Nieson
Robert Olive
Maud Olivier
Monique Orphé
Michel Pajon
Luce Pane
Rémi Pauvros
Germinal Peiro
Hervé Pellois
Jean-Claude Perez
Sébastien Pietrasanta
Martine Pinville
Christine Pires Beaune
Philippe Plisson
Élisabeth Pochon
Napole Polutélé
Pascal Popelin
Dominique Potier
Régine Povéda
Christophe Premat
Joaquim Pueyo
François Pupponi
Catherine Quéré
Valérie Rabault
Monique Rabin
Dominique Raimbourg
Marie Récalde
Eduardo Rihan Cypel
Alain Rodet
Frédéric Roig
Bernard Roman
Gwendal Rouillard
René Rouquet
Alain Rousset
Boinali Said
Béatrice Santais
Odile Saugues
Gilbert Sauvan
Gilles Savary
Christophe Sirugue
Julie Sommaruga
Pascal Terrasse
Sylvie Tolmont
Jean-Louis Touraine
Stéphane Travert
Catherine Troallic
Cécile Untermaier
Jean-Jacques Urvoas
Daniel Vaillant
Jacques Valax
Clotilde Valter
Michel Vauzelle
Fabrice Verdier
Michel Vergnier
Patrick Vignal
Jean-Michel Villaumé
Jean Jacques Vlody
Paola Zanetti
#UMP
Damien Abad
Elie Aboud
Bernard Accoyer
Nicole Ameline
Benoist Apparu
Laurence Arribagé
Julien Aubert
Olivier Audibert-Troin
Jean-Pierre Barbier
Jacques Alain Bénisti
Xavier Bertrand
Marcel Bonnot
Jean-Claude Bouchet
Valérie Boyer
Philippe Briand
Bernard Brochand
Dominique Bussereau
Olivier Carré
Gilles Carrez
Yves Censi
Jérôme Chartier
Luc Chatel
Gérard Cherpion
Guillaume Chevrollier
Alain Chrétien
Jean-Louis Christ
Dino Cinieri
Éric Ciotti
Jean-François Copé
François Cornut-Gentille
Jean-Louis Costes
Édouard Courtial
Jean-Michel Couve
Marie-Christine Dalloz
Gérald Darmanin
Olivier Dassault
Bernard Deflesselles
Lucien Degauchy
Rémi Delatte
Jean-Pierre Door
Dominique Dord
David Douillet
Marianne Dubois
Christian Estrosi
Daniel Fasquelle
Georges Fenech
François Fillon
Marie-Louise Fort
Yves Foulon
Marc Francina
Yves Fromion
Laurent Furst
Sauveur Gandolfi-Scheit
Annie Genevard
Guy Geoffroy
Bernard Gérard
Alain Gest
Daniel Gibbes
Franck Gilard
Georges Ginesta
Charles-Ange Ginesy
Jean-Pierre Giran
Philippe Gosselin
Philippe Goujon
Claude Greff
Arlette Grosskost
Serge Grouard
Jean-Claude Guibal
Christophe Guilloteau
Michel Heinrich
Michel Herbillon
Antoine Herth
Guénhaël Huet
Sébastien Huyghe
Christian Jacob
Denis Jacquat
Christian Kert
Nathalie Kosciusko-Morizet
Jacques Kossowski
Patrick Labaune
Valérie Lacroute
Marc Laffineur
Jacques Lamblin
Jean-François Lamour
Guillaume Larrivé
Charles de La Verpillière
Thierry Lazaro
Alain Leboeuf
Isabelle Le Callennec
Marc Le Fur
Bruno Le Maire
Jean Leonetti
Pierre Lequiller
Philippe Le Ray
Geneviève Levy
Gilles Lurton
Jean-François Mancel
Alain Marleix
Philippe Armand Martin
Patrice Martin-Lalande
Alain Marty
Jean-Claude Mathis
François de Mazières
Gérard Menuel
Damien Meslot
Pierre Morange
Alain Moyne-Bressand
Jacques Myard
Dominique Nachury
Yves Nicolin
Patrick Ollier
Valérie Pécresse
Jacques Pélissard
Axel Poniatowski
Josette Pons
Didier Quentin
Frédéric Reiss
Jean-Luc Reitzer
Bernard Reynès
Camille de Rocca Serra
Sophie Rohfritsch
Martial Saddier
Paul Salen
François Scellier
Claudine Schmid
André Schneider
Jean-Marie Sermier
Michel Sordi
Éric Straumann
Claude Sturni
Michèle Tabarot
Guy Teissier
Michel Terrot
Jean-Marie Tetart
Dominique Tian
François Vannson
Catherine Vautrin
Patrice Verchère
Jean-Pierre Vigier
Philippe Vitel
Laurent Wauquiez
Éric Woerth
Marie-Jo Zimmermann
#UDI
Stéphane Demilly
Philippe Folliot
Meyer Habib
Francis Hillmeyer
Sonia Lagarde
Jean-Christophe Lagarde
Michel Piron
Franck Reynier
François Rochebloine
Maina Sage
Rudy Salles
André Santini
François Sauvadet
Jean-Paul Tuaiva
Philippe Vigier
François-Xavier Villain
Michel Zumkeller
#ECOLO
Éric Alauzet
Denis Baupin
Christophe Cavard
François-Michel Lambert
François de Rugy
#RRDP
Jean-Noël Carpentier
Ary Chalus
Gérard Charasse
Jeanine Dubié
Olivier Falorni
Paul Giacobbi
Joël Giraud
Gilda Hobert
Jacques Krabal
Jérôme Lambert
Jean-Pierre Maggi
Jacques Moignard
Dominique Orliac
Thierry Robert
Stéphane Saint-André
Roger-Gérard Schwartzenberg
Alain Tourret
#GDR
Bruno Nestor Azérot
Marc Dolez
Gabriel Serville
#AUTRE
Sylvie Andrieux
